idx_number,name,formatted_name
27560,Area of G-cingul-Post-ventral (right hemisphere),rh_G_cingul_Post_ventral
27561,Area of G-cuneus (right hemisphere),rh_G_cuneus
27562,Area of G-front-inf-Opercular (right hemisphere),rh_G_front_inf_Opercular
27563,Area of G-front-inf-Orbital (right hemisphere),rh_G_front_inf_Orbital
27564,Area of G-front-inf-Triangul (right hemisphere),rh_G_front_inf_Triangul
27565,Area of G-front-middle (right hemisphere),rh_G_front_middle
27566,Area of G-front-sup (right hemisphere),rh_G_front_sup
27567,Area of G-Ins-lg+S-cent-ins (right hemisphere),rh_G_Ins_lg_and_S_cent_ins
27568,Area of G-insular-short (right hemisphere),rh_G_insular_short
27569,Area of G-occipital-middle (right hemisphere),rh_G_occipital_middle
27570,Area of G-occipital-sup (right hemisphere),rh_G_occipital_sup
27571,Area of G-oc-temp-lat-fusifor (right hemisphere),rh_G_oc_temp_lat_fusifor
27572,Area of G-oc-temp-med-Lingual (right hemisphere),rh_G_oc_temp_med_Lingual
27573,Area of G-oc-temp-med-Parahip (right hemisphere),rh_G_oc_temp_med_Parahip
27574,Area of G-orbital (right hemisphere),rh_G_orbital
27575,Area of G-pariet-inf-Angular (right hemisphere),rh_G_pariet_inf_Angular
27576,Area of G-pariet-inf-Supramar (right hemisphere),rh_G_pariet_inf_Supramar
27577,Area of G-parietal-sup (right hemisphere),rh_G_parietal_sup
27578,Area of G-postcentral (right hemisphere),rh_G_postcentral
27579,Area of G-precentral (right hemisphere),rh_G_precentral
27580,Area of G-precuneus (right hemisphere),rh_G_precuneus
27581,Area of G-rectus (right hemisphere),rh_G_rectus
27582,Area of G-subcallosal (right hemisphere),rh_G_subcallosal
27583,Area of G-temp-sup-G-T-transv (right hemisphere),rh_G_temp_sup_G_T_transv
27584,Area of G-temp-sup-Lateral (right hemisphere),rh_G_temp_sup_Lateral
27585,Area of G-temp-sup-Plan-polar (right hemisphere),rh_G_temp_sup_Plan_polar
27586,Area of G-temp-sup-Plan-tempo (right hemisphere),rh_G_temp_sup_Plan_tempo
27587,Area of G-temporal-inf (right hemisphere),rh_G_temporal_inf
27588,Area of G-temporal-middle (right hemisphere),rh_G_temporal_middle
27589,Area of Lat-Fis-ant-Horizont (right hemisphere),rh_Lat_Fis_ant_Horizont
27590,Area of Lat-Fis-ant-Vertical (right hemisphere),rh_Lat_Fis_ant_Vertical
27591,Area of Lat-Fis-post (right hemisphere),rh_Lat_Fis_post
27592,Area of Pole-occipital (right hemisphere),rh_Pole_occipital
27593,Area of Pole-temporal (right hemisphere),rh_Pole_temporal
27594,Area of S-calcarine (right hemisphere),rh_S_calcarine
27595,Area of S-central (right hemisphere),rh_S_central
27596,Area of S-cingul-Marginalis (right hemisphere),rh_S_cingul_Marginalis
27597,Area of S-circular-insula-ant (right hemisphere),rh_S_circular_insula_ant
27598,Area of S-circular-insula-inf (right hemisphere),rh_S_circular_insula_inf
27599,Area of S-circular-insula-sup (right hemisphere),rh_S_circular_insula_sup
27600,Area of S-collat-transv-ant (right hemisphere),rh_S_collat_transv_ant
27601,Area of S-collat-transv-post (right hemisphere),rh_S_collat_transv_post
27602,Area of S-front-inf (right hemisphere),rh_S_front_inf
27603,Area of S-front-middle (right hemisphere),rh_S_front_middle
27604,Area of S-front-sup (right hemisphere),rh_S_front_sup
27605,Area of S-interm-prim-Jensen (right hemisphere),rh_S_interm_prim_Jensen
27606,Area of S-intrapariet+P-trans (right hemisphere),rh_S_intrapariet_and_P_trans
27607,Area of S-oc-middle+Lunatus (right hemisphere),rh_S_oc_middle_and_Lunatus
27608,Area of S-oc-sup+transversal (right hemisphere),rh_S_oc_sup_and_transversal
27609,Area of S-occipital-ant (right hemisphere),rh_S_occipital_ant
27610,Area of S-oc-temp-lat (right hemisphere),rh_S_oc_temp_lat
27611,Area of S-oc-temp-med+Lingual (right hemisphere),rh_S_oc_temp_med_and_Lingual
27612,Area of S-orbital-lateral (right hemisphere),rh_S_orbital_lateral
27613,Area of S-orbital-med-olfact (right hemisphere),rh_S_orbital_med_olfact
27614,Area of S-orbital-H-Shaped (right hemisphere),rh_S_orbital_H_Shaped
27615,Area of S-parieto-occipital (right hemisphere),rh_S_parieto_occipital
27616,Area of S-pericallosal (right hemisphere),rh_S_pericallosal
27617,Area of S-postcentral (right hemisphere),rh_S_postcentral
27618,Area of S-precentral-inf-part (right hemisphere),rh_S_precentral_inf_part
27619,Area of S-precentral-sup-part (right hemisphere),rh_S_precentral_sup_part
27620,Area of S-suborbital (right hemisphere),rh_S_suborbital
27621,Area of S-subparietal (right hemisphere),rh_S_subparietal
27622,Area of S-temporal-inf (right hemisphere),rh_S_temporal_inf
27623,Area of S-temporal-sup (right hemisphere),rh_S_temporal_sup
27624,Area of S-temporal-transverse (right hemisphere),rh_S_temporal_transverse
