idx_number,name,formatted_name
27706,Volume of G+S-cingul-Mid-Post (right hemisphere),rh_G_and_S_cingul_Mid_Post
27707,Volume of G-cingul-Post-dorsal (right hemisphere),rh_G_cingul_Post_dorsal
27708,Volume of G-cingul-Post-ventral (right hemisphere),rh_G_cingul_Post_ventral
27709,Volume of G-cuneus (right hemisphere),rh_G_cuneus
27710,Volume of G-front-inf-Opercular (right hemisphere),rh_G_front_inf_Opercular
27711,Volume of G-front-inf-Orbital (right hemisphere),rh_G_front_inf_Orbital
27712,Volume of G-front-inf-Triangul (right hemisphere),rh_G_front_inf_Triangul
27713,Volume of G-front-middle (right hemisphere),rh_G_front_middle
27714,Volume of G-front-sup (right hemisphere),rh_G_front_sup
27715,Volume of G-Ins-lg+S-cent-ins (right hemisphere),rh_G_Ins_lg_and_S_cent_ins
27716,Volume of G-insular-short (right hemisphere),rh_G_insular_short
27717,Volume of G-occipital-middle (right hemisphere),rh_G_occipital_middle
27718,Volume of G-occipital-sup (right hemisphere),rh_G_occipital_sup
27719,Volume of G-oc-temp-lat-fusifor (right hemisphere),rh_G_oc_temp_lat_fusifor
27720,Volume of G-oc-temp-med-Lingual (right hemisphere),rh_G_oc_temp_med_Lingual
27721,Volume of G-oc-temp-med-Parahip (right hemisphere),rh_G_oc_temp_med_Parahip
27722,Volume of G-orbital (right hemisphere),rh_G_orbital
27723,Volume of G-pariet-inf-Angular (right hemisphere),rh_G_pariet_inf_Angular
27724,Volume of G-pariet-inf-Supramar (right hemisphere),rh_G_pariet_inf_Supramar
27725,Volume of G-parietal-sup (right hemisphere),rh_G_parietal_sup
27726,Volume of G-postcentral (right hemisphere),rh_G_postcentral
27727,Volume of G-precentral (right hemisphere),rh_G_precentral
27728,Volume of G-precuneus (right hemisphere),rh_G_precuneus
27729,Volume of G-rectus (right hemisphere),rh_G_rectus
27730,Volume of G-subcallosal (right hemisphere),rh_G_subcallosal
27731,Volume of G-temp-sup-G-T-transv (right hemisphere),rh_G_temp_sup_G_T_transv
27732,Volume of G-temp-sup-Lateral (right hemisphere),rh_G_temp_sup_Lateral
27733,Volume of G-temp-sup-Plan-polar (right hemisphere),rh_G_temp_sup_Plan_polar
27734,Volume of G-temp-sup-Plan-tempo (right hemisphere),rh_G_temp_sup_Plan_tempo
27735,Volume of G-temporal-inf (right hemisphere),rh_G_temporal_inf
27736,Volume of G-temporal-middle (right hemisphere),rh_G_temporal_middle
27737,Volume of Lat-Fis-ant-Horizont (right hemisphere),rh_Lat_Fis_ant_Horizont
27738,Volume of Lat-Fis-ant-Vertical (right hemisphere),rh_Lat_Fis_ant_Vertical
27739,Volume of Lat-Fis-post (right hemisphere),rh_Lat_Fis_post
27740,Volume of Pole-occipital (right hemisphere),rh_Pole_occipital
27741,Volume of Pole-temporal (right hemisphere),rh_Pole_temporal
27742,Volume of S-calcarine (right hemisphere),rh_S_calcarine
27743,Volume of S-central (right hemisphere),rh_S_central
27744,Volume of S-cingul-Marginalis (right hemisphere),rh_S_cingul_Marginalis
27745,Volume of S-circular-insula-ant (right hemisphere),rh_S_circular_insula_ant
27746,Volume of S-circular-insula-inf (right hemisphere),rh_S_circular_insula_inf
27747,Volume of S-circular-insula-sup (right hemisphere),rh_S_circular_insula_sup
27748,Volume of S-collat-transv-ant (right hemisphere),rh_S_collat_transv_ant
27749,Volume of S-collat-transv-post (right hemisphere),rh_S_collat_transv_post
27750,Volume of S-front-inf (right hemisphere),rh_S_front_inf
27751,Volume of S-front-middle (right hemisphere),rh_S_front_middle
27752,Volume of S-front-sup (right hemisphere),rh_S_front_sup
27753,Volume of S-interm-prim-Jensen (right hemisphere),rh_S_interm_prim_Jensen
27754,Volume of S-intrapariet+P-trans (right hemisphere),rh_S_intrapariet_and_P_trans
27755,Volume of S-oc-middle+Lunatus (right hemisphere),rh_S_oc_middle_and_Lunatus
27756,Volume of S-oc-sup+transversal (right hemisphere),rh_S_oc_sup_and_transversal
27757,Volume of S-occipital-ant (right hemisphere),rh_S_occipital_ant
27758,Volume of S-oc-temp-lat (right hemisphere),rh_S_oc_temp_lat
27759,Volume of S-oc-temp-med+Lingual (right hemisphere),rh_S_oc_temp_med_and_Lingual
27760,Volume of S-orbital-lateral (right hemisphere),rh_S_orbital_lateral
27761,Volume of S-orbital-med-olfact (right hemisphere),rh_S_orbital_med_olfact
27762,Volume of S-orbital-H-Shaped (right hemisphere),rh_S_orbital_H_Shaped
27763,Volume of S-parieto-occipital (right hemisphere),rh_S_parieto_occipital
27764,Volume of S-pericallosal (right hemisphere),rh_S_pericallosal
27765,Volume of S-postcentral (right hemisphere),rh_S_postcentral
27766,Volume of S-precentral-inf-part (right hemisphere),rh_S_precentral_inf_part
27767,Volume of S-precentral-sup-part (right hemisphere),rh_S_precentral_sup_part
27768,Volume of S-suborbital (right hemisphere),rh_S_suborbital
27769,Volume of S-subparietal (right hemisphere),rh_S_subparietal
27770,Volume of S-temporal-inf (right hemisphere),rh_S_temporal_inf
27771,Volume of S-temporal-sup (right hemisphere),rh_S_temporal_sup
27772,Volume of S-temporal-transverse (right hemisphere),rh_S_temporal_transverse
